,Time,RPS
544,2024-06-05 16:33:04,237
545,2024-06-05 16:33:05,178
546,2024-06-05 16:33:06,164
547,2024-06-05 16:33:07,111
548,2024-06-05 16:33:08,72
549,2024-06-05 16:33:09,106
550,2024-06-05 16:33:10,192
551,2024-06-05 16:33:11,186
552,2024-06-05 16:33:12,279
553,2024-06-05 16:33:13,246
554,2024-06-05 16:33:14,268
555,2024-06-05 16:33:15,171
556,2024-06-05 16:33:16,117
557,2024-06-05 16:33:17,169
558,2024-06-05 16:33:18,141
559,2024-06-05 16:33:19,152
560,2024-06-05 16:33:20,61
561,2024-06-05 16:33:21,109
562,2024-06-05 16:33:22,112
563,2024-06-05 16:33:23,142
564,2024-06-05 16:33:24,93
565,2024-06-05 16:33:25,179
566,2024-06-05 16:33:26,82
567,2024-06-05 16:33:27,220
568,2024-06-05 16:33:28,223
569,2024-06-05 16:33:29,153
570,2024-06-05 16:33:30,145
571,2024-06-05 16:33:31,128
572,2024-06-05 16:33:32,195
573,2024-06-05 16:33:33,227
574,2024-06-05 16:33:34,183
575,2024-06-05 16:33:35,125
576,2024-06-05 16:33:36,165
577,2024-06-05 16:33:37,124
578,2024-06-05 16:33:38,70
579,2024-06-05 16:33:39,82
580,2024-06-05 16:33:40,85
581,2024-06-05 16:33:41,109
582,2024-06-05 16:33:42,91
583,2024-06-05 16:33:43,208
584,2024-06-05 16:33:44,208
585,2024-06-05 16:33:45,116
586,2024-06-05 16:33:46,197
587,2024-06-05 16:33:47,203
588,2024-06-05 16:33:48,205
589,2024-06-05 16:33:49,206
590,2024-06-05 16:33:50,163
591,2024-06-05 16:33:51,198
592,2024-06-05 16:33:52,128
593,2024-06-05 16:33:53,58
594,2024-06-05 16:33:54,95
595,2024-06-05 16:33:55,109
596,2024-06-05 16:33:56,117
597,2024-06-05 16:33:57,200
598,2024-06-05 16:33:58,204
599,2024-06-05 16:33:59,220
600,2024-06-05 16:34:00,190
601,2024-06-05 16:34:01,173
602,2024-06-05 16:34:02,131
603,2024-06-05 16:34:03,191
604,2024-06-05 16:34:04,190
605,2024-06-05 16:34:05,96
606,2024-06-05 16:34:06,169
607,2024-06-05 16:34:07,71
608,2024-06-05 16:34:08,122
609,2024-06-05 16:34:09,85
610,2024-06-05 16:34:10,97
611,2024-06-05 16:34:11,114
612,2024-06-05 16:34:12,150
613,2024-06-05 16:34:13,159
614,2024-06-05 16:34:14,101
615,2024-06-05 16:34:15,107
616,2024-06-05 16:34:16,172
617,2024-06-05 16:34:17,237
618,2024-06-05 16:34:18,192
619,2024-06-05 16:34:19,173
620,2024-06-05 16:34:20,149
621,2024-06-05 16:34:21,192
622,2024-06-05 16:34:22,114
623,2024-06-05 16:34:23,82
624,2024-06-05 16:34:24,57
625,2024-06-05 16:34:25,74
626,2024-06-05 16:34:26,66
627,2024-06-05 16:34:27,105
628,2024-06-05 16:34:28,210
629,2024-06-05 16:34:29,154
630,2024-06-05 16:34:30,189
631,2024-06-05 16:34:31,215
632,2024-06-05 16:34:32,210
633,2024-06-05 16:34:33,147
634,2024-06-05 16:34:34,178
635,2024-06-05 16:34:35,147
636,2024-06-05 16:34:36,155
637,2024-06-05 16:34:37,102
638,2024-06-05 16:34:38,106
639,2024-06-05 16:34:39,115
640,2024-06-05 16:34:40,119
641,2024-06-05 16:34:41,158
642,2024-06-05 16:34:42,182
643,2024-06-05 16:34:43,217
644,2024-06-05 16:34:44,149
645,2024-06-05 16:34:45,112
646,2024-06-05 16:34:46,108
647,2024-06-05 16:34:47,151
648,2024-06-05 16:34:48,100
649,2024-06-05 16:34:49,130
650,2024-06-05 16:34:50,99
651,2024-06-05 16:34:51,90
652,2024-06-05 16:34:52,23
653,2024-06-05 16:34:53,1
654,2024-06-05 16:34:54,2
655,2024-06-05 16:34:56,4
656,2024-06-05 16:34:57,1
657,2024-06-05 16:34:58,1
658,2024-06-05 16:34:59,3
659,2024-06-05 16:35:00,1
660,2024-06-05 16:35:01,1
661,2024-06-05 16:35:02,1
662,2024-06-05 16:35:03,1
663,2024-06-05 16:35:04,2
664,2024-06-05 16:35:05,1
665,2024-06-05 16:35:06,1
666,2024-06-05 16:35:07,1
667,2024-06-05 16:35:08,1
668,2024-06-05 16:35:09,2
669,2024-06-05 16:35:10,1
670,2024-06-05 16:35:11,1
671,2024-06-05 16:35:12,1
672,2024-06-05 16:35:13,1
673,2024-06-05 16:35:14,2
674,2024-06-05 16:35:15,1
675,2024-06-05 16:35:16,1
676,2024-06-05 16:35:17,1
677,2024-06-05 16:35:18,1
678,2024-06-05 16:35:19,1
679,2024-06-05 16:35:20,1
680,2024-06-05 16:35:21,2
681,2024-06-05 16:35:22,1
682,2024-06-05 16:35:23,1
683,2024-06-05 16:35:25,2
684,2024-06-05 16:35:26,1
685,2024-06-05 16:35:27,1
686,2024-06-05 16:35:28,1
687,2024-06-05 16:35:29,1
688,2024-06-05 16:35:30,1
689,2024-06-05 16:35:31,2
690,2024-06-05 16:35:32,1
691,2024-06-05 16:35:33,1
692,2024-06-05 16:35:34,1
693,2024-06-05 16:35:35,2
694,2024-06-05 16:35:37,2
695,2024-06-05 16:35:38,1
696,2024-06-05 16:35:39,1
697,2024-06-05 16:35:40,2
